Data,Valor_Real,Valor_Previsto,Valor_Previsto_SMA
2024-03-12,-0.047241233,0.04526791,-0.09320127964019775
2024-03-12,-0.015202496,0.10153279,0.011801496148109436
2024-03-12,0.1193602,0.16344103,0.1034139096736908
2024-03-12,0.25071904,0.2457628,0.17024553815523782
2024-03-12,0.28596166,0.33518234,0.24812872211138406
2024-03-12,0.31800038,0.41115794,0.3307010233402252
2024-03-12,0.35003912,0.45891902,0.40175309777259827
2024-03-12,0.51664054,0.49464235,0.4549064338207245
2024-03-12,0.7441156,0.5767602,0.510107179482778
2024-03-12,0.7793582,0.6623541,0.5779188772042593
2024-03-12,-2.1938367,-2.0585673,-0.2731510003407796
2024-03-12,-2.161798,-1.9351373,-1.1104501485824585
2024-03-12,-2.0304391,-1.8647162,-1.9528069098790486
2024-03-12,-1.9663616,-1.7937964,-1.864549954732259
2024-03-12,-1.8990803,-1.7499474,-1.8028200070063274
2024-03-12,-1.8317989,-1.6941245,-1.7459561030069988
2024-03-12,-1.7965564,-1.6537496,-1.6992738246917725
2024-03-12,-1.7645177,-1.6211714,-1.656348466873169
2024-03-12,-1.7324789,-1.5882865,-1.6210691531499226
2024-03-12,-1.6331588,-1.5514338,-1.5869638919830322
2024-03-12,-1.60112,-1.5045255,-1.5480819543202717
2024-03-12,-1.5018,-1.4449936,-1.500317653020223
2024-03-12,-1.4377224,-1.3791088,-1.4428759813308716
2024-03-12,-1.2326746,-1.3026303,-1.3755775690078735
2024-03-12,-1.2006358,-1.2019209,-1.294553319613139
2024-03-12,-1.1333544,-1.1241502,-1.2095671097437541
2024-03-12,-1.1013157,-1.0537407,-1.1266039212544758
2024-03-12,-1.0660731,-1.0196673,-1.0658527215321858
2024-03-12,-0.93471426,-0.9629891,-1.0121323664983113
2024-03-12,-0.8994717,-0.89875984,-0.9604720671971639
2024-03-12,-0.66558886,-0.78900194,-0.8835836251576742
2024-03-12,-0.6015114,-0.6523771,-0.780046304066976
2024-03-12,-0.3355899,-0.48717228,-0.6428504486878713
2024-03-12,-0.26830852,-0.31488574,-0.4848117132981618
2024-03-12,-0.20102718,-0.1849934,-0.32901713748772937
2024-03-12,-0.1369497,-0.06302169,-0.18763360877831778
2024-03-12,-0.101707086,0.0013637543,-0.08221711218357086
2024-03-12,0.37887397,0.12716848,0.021836847066879272
2024-03-12,0.5134367,0.3389827,0.15583831071853638
2024-03-12,0.5454754,0.4936122,0.3199211259682973
2024-03-12,0.98120224,0.63100755,0.4878674844900767
2024-03-12,-2.1906328,-2.0692673,-0.31488250692685443
2024-03-12,-2.0913126,-1.9405771,-1.1262789567311604
2024-03-12,-2.0240314,-1.8570768,-1.955640395482381
2024-03-12,-0.053648982,0.047156975,-1.2501656462748845
2024-03-12,-0.46054095,-0.13578695,-0.6485689133405685
2024-03-12,-0.12093033,-0.19890781,-0.09584592779477437
2024-03-12,-0.088891596,0.01824227,-0.10548416276772817
2024-03-12,0.077709846,0.029790744,-0.050291597843170166
2024-03-12,0.112952456,0.180446,0.07615967094898224
2024-03-12,0.38528174,0.27436844,0.16153505941232046
2024-03-12,0.41732046,0.4146596,0.2898246745268504
2024-03-12,-1.4857806,-1.6158473,-0.30893977483113605
2024-03-12,-1.4537418,-1.3661106,-0.855766107638677
2024-03-12,-0.8610252,-1.2598768,-1.413944919904073
2024-03-12,-0.8257826,-0.9498265,-1.1919379631678264
2024-03-12,-0.7232586,-0.822762,-1.01082177956899
2024-03-12,-0.65597725,-0.630232,-0.8009401559829712
2024-03-12,-0.5566572,-0.5632751,-0.672089695930481
2024-03-12,-0.5214146,-0.4867554,-0.5600874920686086
2024-03-12,-0.024814118,-0.29349568,-0.4478420615196228
2024-03-12,0.0072246203,-0.043657556,-0.2746362139781316
2024-03-12,0.20266092,0.08810219,-0.08301701645056407
2024-03-12,0.23790354,0.2828652,0.10910327732563019
2024-03-12,0.4365437,0.37417182,0.24837973713874817
2024-03-12,0.46858245,0.49425963,0.3837655484676361
2024-03-12,0.53265995,0.5606544,0.4763619502385457
2024-03-12,0.56790257,0.6169528,0.5572889347871145
2024-03-12,0.59994125,0.6449292,0.6075121164321899
2024-03-12,0.66401875,0.67158353,0.6444884936014811
2024-03-12,0.69926137,0.70059943,0.672370711962382
2024-03-12,0.734504,0.72760725,0.6999300718307495
2024-03-12,0.80178535,0.7530538,0.7270868221918741
2024-03-12,0.8658628,0.78043544,0.7536988258361816
2024-03-12,0.9011054,0.815176,0.7828884124755859
2024-03-12,0.9651829,0.8489759,0.8148624499638876
2024-03-12,-2.2066522,-2.1253924,-0.1537468433380127
2024-03-12,-2.107332,-2.0223842,-1.0996002356211345
2024-03-12,-2.0752933,-1.871236,-2.006337523460388
2024-03-12,-1.7741293,-1.7821107,-1.8919102748235066
2024-03-12,-1.6748091,-1.673726,-1.7756908734639485
2024-03-12,-0.409279,-0.73396957,-1.3966020743052165
2024-03-12,-0.37724024,-0.3322476,-0.9133143822352091
2024-03-12,-0.11131871,-0.30254823,-0.45625513792037964
2024-03-12,-0.0760761,-0.041789383,-0.2255284090836843
2024-03-12,-0.04403736,0.03797242,-0.10212173064549764
2024-03-12,0.055282727,0.13839883,0.044860621293385826
2024-03-12,0.09052534,0.19009206,0.122154434521993
2024-03-12,0.45256308,0.28594074,0.20481053988138834
2024-03-12,0.4878057,0.44354013,0.3065243065357208
2024-03-12,0.5198444,0.54385316,0.42444467544555664
2024-03-12,0.55508703,0.6214131,0.536268800497055
2024-03-12,0.58071804,0.64248204,0.6025827725728353
2024-03-12,0.5871258,0.6614759,0.6417903502782186
2024-03-12,0.6191645,0.67498803,0.6596486568450928
2024-03-12,0.6512033,0.68810546,0.6748564640680949
2024-03-12,0.7216885,0.70524776,0.6894470850626627
2024-03-12,0.82100856,0.7327447,0.7086993058522543
2024-03-12,0.88508606,0.7754487,0.7378137111663818
2024-03-12,0.9491635,0.8241526,0.7774486541748047
2024-03-12,-2.1521864,-2.1017907,-0.16739646593729654
2024-03-12,-2.1201477,-2.0029206,-1.0935195684432983
2024-03-12,-2.0528662,-1.8692707,-1.9913273255030315
2024-03-12,-2.0176237,-1.8214761,-1.8978891372680664
2024-03-12,-1.9503423,-1.7899532,-1.8269000053405762
2024-03-12,-1.780537,-1.7251099,-1.7788464228312175
2024-03-12,-1.5498581,-1.62703,-1.7140310605367024
2024-03-12,-1.5178193,-1.5234748,-1.6252049207687378
2024-03-12,-1.4857806,-1.4154102,-1.5219716628392537
2024-03-12,-1.4505379,-1.346416,-1.4284336566925049
2024-03-12,-1.3832567,-1.3103802,-1.3574021259943645
2024-03-12,-1.3159753,-1.263764,-1.3068534135818481
2024-03-12,-1.2807326,-1.2114142,-1.2618528207143147
2024-03-12,-1.1814126,-1.1501862,-1.2084548075993855
2024-03-12,-1.0852964,-1.0795447,-1.1470483541488647
2024-03-12,-1.0500537,-1.0122442,-1.0806583563486736
2024-03-12,-0.9859763,-0.93835866,-1.0100491841634114
2024-03-12,-0.95073366,-0.87304366,-0.9412155151367188
2024-03-12,-0.9186949,-0.8240173,-0.8784732023874918
2024-03-12,-0.88665617,-0.7843852,-0.8271487156550089
2024-03-12,-0.85141355,-0.7500613,-0.786154588063558
2024-03-12,-0.8193748,-0.7140753,-0.7495072682698568
2024-03-12,-0.7873361,-0.683679,-0.7159385283788046
2024-03-12,-0.7520935,-0.6554203,-0.6843915383021036
2024-03-12,-0.688016,-0.62420607,-0.6544351180394491
2024-03-12,-0.6527734,-0.5885463,-0.6227242151896158
2024-03-12,-0.61753076,-0.55105555,-0.5879359642664591
2024-03-12,-0.5534533,-0.5048665,-0.5481561024983724
2024-03-12,-0.5214146,-0.45983785,-0.5052532951037089
2024-03-12,-0.4541332,-0.4086553,-0.45778654019037884
2024-03-12,-0.39005575,-0.3445887,-0.4043606122334798
2024-03-12,-0.2586969,-0.25464165,-0.33596187829971313
2024-03-12,-0.12733808,-0.12740591,-0.24221208691596985
2024-03-12,-0.09529934,-0.02068606,-0.1342445413271586
2024-03-12,0.0008168728,0.06478262,-0.027769784132639568
2024-03-12,0.036059484,0.14208534,0.06206063429514567
2024-03-12,0.10013696,0.18989554,0.13225450118382773
2024-03-12,0.1321757,0.24531737,0.19243275125821432
2024-03-12,0.2667384,0.297735,0.24431597193082175
2024-03-12,0.49741733,0.39993152,0.31432796518007916
2024-03-12,0.5967374,0.51747704,0.40504785378774005
2024-03-12,0.63198,0.614421,0.5106098552544912
2024-03-12,0.66401875,0.6792487,0.6037155787150065
2024-03-12,0.7313001,0.7129431,0.6688709259033203
2024-03-12,0.76333886,0.7401271,0.7107729514439901
2024-03-12,0.89469767,0.7703842,0.7411514520645142
2024-03-12,0.9267364,0.8169278,0.7758130232493082
